,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,72,0,0,0,0,0,0,0,0
5,0,0,65,0,0,0,0,0,0,0,0
6,93,91,91,1797,1209,1130,1071,565,799,348,458
7,93,91,77,1797,1209,1130,1071,565,799,348,458
8,90,80,66,3000,2086,932,315,3018,686,874,733
9,90,80,90,3000,2086,932,315,3018,686,874,733
10,96,77,69,5524,1229,808,492,538,403,475,780
11,96,77,90,5524,1229,808,492,538,403,475,780
12,91,81,100,3658,1779,1611,674,555,718,534,355
13,91,81,87,3658,1779,1611,674,555,718,534,355
14,91,80,184,1287,2388,2522,727,2236,1393,447,958
15,91,80,65,1287,2388,2522,727,2236,1393,447,958
16,84,93,99,1047,5855,8342,5269,1078,1661,663,477
17,84,93,-20,1047,5855,8342,5269,1078,1661,663,477
18,77,75,154,72686,73425,714,2973,3701,3347,615,1602
19,77,75,92,72686,73425,714,2973,3701,3347,615,1602
20,60,63,40,1799789,507126,51218,31729,52331,14079,7110,5324
21,60,63,103,1799789,507126,51218,31729,52331,14079,7110,5324
22,60,60,27,5731,5451,2222,328,909,1817,251,855
23,60,60,69,5731,5451,2222,328,909,1817,251,855
24,54,54,76,10186,9787,7473,2500,2940,778,699,1638
25,54,54,74,10186,9787,7473,2500,2940,778,699,1638
26,64,78,93,1869,794,1308,1328,441,538,758,949
27,64,78,98,1869,794,1308,1328,441,538,758,949
28,78,83,82,2780,1827,108,1002,1515,361,298,1510
29,78,83,68,2780,1827,108,1002,1515,361,298,1510
30,87,77,-1,2622,1077,96,340,1600,1650,470,1243
31,87,77,76,2622,1077,96,340,1600,1650,470,1243
32,84,69,73,30239,39048,6237,6923,2336,1873,506,610
33,84,69,100,30239,39048,6237,6923,2336,1873,506,610
34,84,66,112,1379,4268,5362,2502,1086,2053,332,2092
35,84,66,26,1379,4268,5362,2502,1086,2053,332,2092
36,78,70,104,5645,5487,1975,3208,2948,764,470,840
37,78,70,55,5645,5487,1975,3208,2948,764,470,840
38,57,96,68,1554,910,5435,3290,1580,618,485,336
39,57,96,61,1554,910,5435,3290,1580,618,485,336
40,69,100,-170,1339,2298,265,6425,1481,1781,1136,1088
41,57,96,99,113986,43134,6984,6890,3295,2016,811,2591
42,57,96,112,113986,43134,6984,6890,3295,2016,811,2591
43,69,97,163,567666,8151,1955,14237,11279,7191,4619,8701
44,69,97,51,567666,8151,1955,14237,11279,7191,4619,8701
45,69,97,44,1396,1299,11215,6465,2533,1504,318,1051
46,69,97,108,1396,1299,11215,6465,2533,1504,318,1051
47,66,93,23,534,3776,2752,2648,3157,1110,783,1584
48,66,93,540,534,3776,2752,2648,3157,1110,783,1584
49,69,96,109,35237,23187,4852,7210,2699,2090,725,581
50,69,96,114,35237,23187,4852,7210,2699,2090,725,581
51,66,96,83,8506,3139,1338,2119,1322,1079,159,492
52,66,96,80,8506,3139,1338,2119,1322,1079,159,492
53,69,83,90,1005,3074,1882,1497,3081,723,117,1188
54,69,83,87,1005,3074,1882,1497,3081,723,117,1188
55,81,83,85,1803,875,1010,1331,1271,1861,423,1715
56,81,83,139,1803,875,1010,1331,1271,1861,423,1715
57,74,74,84,242675,292624,17808,18648,9065,6199,5463,6245
58,74,74,67,242675,292624,17808,18648,9065,6199,5463,6245
59,74,78,91,3940,517,2735,1980,1972,958,223,472
60,74,78,83,3940,517,2735,1980,1972,958,223,472
61,77,80,83,5362,6121,1648,4360,1895,2170,793,646
62,77,80,98,5362,6121,1648,4360,1895,2170,793,646
63,69,84,77,340,1082,2113,2361,860,1508,865,1491
64,69,84,73,340,1082,2113,2361,860,1508,865,1491
65,84,100,102,8561,1773,4129,4410,3733,1492,581,846
66,84,100,101,8561,1773,4129,4410,3733,1492,581,846
67,81,100,84,3941,2631,3623,2269,1830,971,297,1494
68,81,100,85,3941,2631,3623,2269,1830,971,297,1494
69,78,100,38,2856,3598,5032,737,2496,1223,650,1133
70,78,100,71,2856,3598,5032,737,2496,1223,650,1133
71,70,100,343,1497,10223,2350,9677,1741,2295,710,1135
72,70,100,123,1497,10223,2350,9677,1741,2295,710,1135
73,70,87,39,77525,14945,2364,2264,3412,2933,486,533
74,70,87,82,77525,14945,2364,2264,3412,2933,486,533
75,64,75,58,127629,49222,8611,5852,12253,2488,772,878
76,64,75,43,127629,49222,8611,5852,12253,2488,772,878
77,60,80,80,4641,2291,4929,2163,1382,753,726,1066
78,60,80,32,4641,2291,4929,2163,1382,753,726,1066
79,57,78,-281,29238,15382,2685,8219,2856,1747,1233,685
80,57,78,49,29238,15382,2685,8219,2856,1747,1233,685
81,51,77,66,83526,40952,2344,5789,3942,2607,1344,2824
82,51,77,86,83526,40952,2344,5789,3942,2607,1344,2824
83,64,84,44,5461,2425,4217,153,1206,1694,849,723
84,64,84,85,5461,2425,4217,153,1206,1694,849,723
85,69,80,101,1032,2252,698,3872,2240,1047,752,402
86,69,80,176,1032,2252,698,3872,2240,1047,752,402
87,80,74,36,143032,15301,1603,3553,6822,5833,2080,2093
88,80,74,-377,143032,15301,1603,3553,6822,5833,2080,2093
89,93,66,957,1582745,175330,9725,14661,61565,68009,31191,86426
90,93,66,73,1582745,175330,9725,14661,61565,68009,31191,86426
91,84,57,-1,939029,13807,2858,2775,6447,1320,286,368
92,84,57,55,939029,13807,2858,2775,6447,1320,286,368
93,81,53,54,85637,46584,12467,16072,22725,8132,11187,10342
94,83,54,116,19732,5490,235,2966,3241,3410,1199,765
95,83,54,58,19732,5490,235,2966,3241,3410,1199,765
96,77,66,61,24037,10181,2924,2158,309,2380,1458,1069
97,77,66,131,24037,10181,2924,2158,309,2380,1458,1069
98,80,64,74,29268,14915,1733,1707,1166,1891,766,520
99,80,64,166,29268,14915,1733,1707,1166,1891,766,520
100,81,63,101,529039,55897,12088,6843,3884,9345,7530,3343
101,81,63,56,529039,55897,12088,6843,3884,9345,7530,3343
102,64,75,86,33023,5113,11574,3850,4448,884,1705,1636
103,64,75,133,33023,5113,11574,3850,4448,884,1705,1636
104,67,74,107,69084,2964,534,1257,1944,1171,534,1062
105,67,74,154,69084,2964,534,1257,1944,1171,534,1062
106,75,84,60,8601,1126,1134,1193,701,941,452,1000
107,75,84,101,8601,1126,1134,1193,701,941,452,1000
108,80,88,19,6536,3256,1506,2650,4228,1944,1002,776
109,80,88,105,6536,3256,1506,2650,4228,1944,1002,776
110,90,83,39,2843,3295,1850,2369,1320,970,1336,433
111,90,83,57,2843,3295,1850,2369,1320,970,1336,433
112,90,93,85,1920,736,704,3892,1415,1696,544,952
113,90,93,74,1920,736,704,3892,1415,1696,544,952
114,88,84,71,1556,2546,924,608,1038,802,716,1230
115,88,84,64,1556,2546,924,608,1038,802,716,1230
116,88,83,39,1321,3800,364,1801,1894,1925,708,584
117,88,83,84,1321,3800,364,1801,1894,1925,708,584
118,88,87,71,3575,1012,3065,1944,1604,824,437,1836
119,88,87,56,3575,1012,3065,1944,1604,824,437,1836
